pushメニュー名,説明,価格,カテゴリ,含有アレルギー,共有アレルギー,備考,公開
ハンバーガー,ジューシーな牛肉パティと野菜,500,メイン,"えび,小麦,卵","かに,乳",人気メニュー,true
チーズバーガー,チーズと野菜をトッピング,550,メイン,"えび,小麦,卵,乳","かに",,true
サラダ,新鮮な野菜サラダ,300,サイド,,"そば",ヘルシー,true
シーザーサラダ,シーザードレッシング付き,350,サイド,"乳,大豆","卵",,true
パンケーキ,ふわふわのパンケーキ,650,デザート,"小麦,卵,乳",,朝食におすすめ,true
フルーツ盛り合わせ,季節のフルーツを使用,450,デザート,"バナナ,もも,りんご",,true
ステーキ,ジューシーな牛ステーキ,1200,メイン,"牛肉",,限定メニュー,false
カレーライス,スパイシーなカレー,600,メイン,"えび,小麦","卵",,true
天ぷら定食,エビと野菜の天ぷら,800,メイン,"えび,小麦,卵","かに",,true
うどん,手打ちうどん,400,メイン,"小麦,そば",,温冷選択可,true
そば,手打ちそば,450,メイン,"そば",,温冷選択可,true
ラーメン,濃厚スープのラーメン,550,メイン,"小麦,大豆","卵",,true
寿司セット,新鮮なネタの寿司,1500,メイン,"えび,かに,あわび,いか,いくら","さけ,さば",,true
刺身盛り合わせ,季節の刺身,1200,メイン,"えび,かに,あわび,いか,いくら,さけ,さば",,要予約,true
